"STATION","NAME","DATE","TMAX","TMIN"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-06","85","43"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-07","88","50"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-08","88","50"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-09","87","45"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-10","86","47"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-11","81","46"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-12","83","44"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-13","78","44"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-14","80","42"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-15","80","44"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-16","82","43"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-17","84","46"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-18","84","39"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-19","86","54"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-20","76","55"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-21","81","53"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-22","78","43"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-23","79","38"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-24","78","50"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-25","76","47"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-26","66","52"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-27","67","46"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-28","74","36"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-29","82","44"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-06-30","84","49"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-01","84","51"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-02","90","49"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-03","82","53"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-04","87","58"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-05","90","56"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-06","91","55"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-07","84","57"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-08","83","55"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-09","76","49"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-10","81","57"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-11","85","53"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-12","76","57"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-13","77","50"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-14","83","50"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-15","81","48"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-16","69","49"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-17","73","51"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-18","76","49"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-19","82","47"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-20","87","50"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-21","87","53"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-22","88","62"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1996-07-23","89","60"
